year,film,category,name,won,discount,role,category2
1942,Mrs. Miniver,ACTOR IN A SUPPORTING ROLE,Henry Travers,,,"{""Mr. Ballard""}",NA
1942,Mrs. Miniver,ACTRESS,Greer Garson,won,,"{""Kay Miniver""}",NA
1942,Mrs. Miniver,ACTRESS IN A SUPPORTING ROLE,Dame May Whitty,,,"{""Lady Beldon""}",NA
1942,Mrs. Miniver,ACTRESS IN A SUPPORTING ROLE,Teresa Wright,won,,"{""Carol Beldon""}",NA
1942,Mrs. Miniver,CINEMATOGRAPHY,Joseph Ruttenberg,won,,NA,(Black-and-White)
1942,Mrs. Miniver,DIRECTING,William Wyler,won,,NA,NA
1942,Mrs. Miniver,FILM EDITING,Harold F. Kress,,,NA,NA
1942,Mrs. Miniver,OUTSTANDING MOTION PICTURE,Metro-Goldwyn-Mayer,won,,NA,NA
1942,Mrs. Miniver,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",,,NA,NA
1942,Mrs. Miniver,SPECIAL EFFECTS,"Photographic Effects by A. Arnold Gillespie, Warren Newcombe; Sound Effects by Douglas Shearer",,,NA,NA
1942,Mrs. Miniver,WRITING,"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",won,,NA,(Screenplay)
1964,My Fair Lady,ACTOR,Rex Harrison,won,,"{""Professor Henry Higgins""}",NA
1964,My Fair Lady,ACTOR IN A SUPPORTING ROLE,Stanley Holloway,,,"{""Alfred P. Doolittle""}",NA
