year,film,category,won,discount
1994,Forrest Gump,ART DIRECTION -- Art Direction: Rick Carter; Set Decoration: Nancy Haigh,,
1994,Forrest Gump,CINEMATOGRAPHY -- Don Burgess,,
1994,Forrest Gump,DIRECTING -- Robert Zemeckis,won,
1994,Forrest Gump,FILM EDITING -- Arthur Schmidt,won,
1994,Forrest Gump,"MAKEUP -- Daniel C. Striepeke, Hallie D'Amore, Judith A. Cory",,
1994,Forrest Gump,MUSIC (Original Score) -- Alan Silvestri,,
1994,Forrest Gump,"BEST PICTURE -- Wendy Finerman, Steve Tisch and Steve Starkey, Producers",won,
1994,Forrest Gump,"SOUND -- Randy Thom, Tom Johnson, Dennis Sands, William B. Kaplan",,
1994,Forrest Gump,"SOUND EFFECTS EDITING -- Gloria S. Borders, Randy Thom",,
1994,Forrest Gump,"VISUAL EFFECTS -- Ken Ralston, George Murphy, Stephen Rosenbaum, Allen Hall",won,
1994,Forrest Gump,WRITING (Screenplay Based on Material Previously Produced or Published) -- Eric Roth ,won,
1953,From here to Eternity,"ACTOR -- Montgomery Clift {""Robert E. Lee Prewitt""}",,
1953,From here to Eternity,"ACTOR -- Burt Lancaster {""Sgt. Milton Warden""}",,
1953,From here to Eternity,"ACTOR IN A SUPPORTING ROLE -- Frank Sinatra {""Angelo Maggio""}",won,
1953,From here to Eternity,"ACTRESS -- Deborah Kerr {""Karen Holmes""}",,
1953,From here to Eternity,"ACTRESS IN A SUPPORTING ROLE -- Donna Reed {""Lorene/Alma""}",won,
1953,From here to Eternity,CINEMATOGRAPHY (Black-and-White) -- Burnett Guffey,won,
1953,From here to Eternity,COSTUME DESIGN (Black-and-White) -- Jean Louis,,
1953,From here to Eternity,DIRECTING -- Fred Zinnemann,won,
1953,From here to Eternity,FILM EDITING -- William Lyon,won,
1953,From here to Eternity,"MUSIC (Music Score of a Dramatic or Comedy Picture) -- Morris Stoloff, George Duning",,
1953,From here to Eternity,"BEST MOTION PICTURE -- Buddy Adler, Producer",won,
1953,From here to Eternity,"SOUND RECORDING -- Columbia Studio Sound Department, John P. Livadary, Sound Director",won,
1953,From here to Eternity,WRITING (Screenplay) -- Daniel Taradash ,won,
1939,Gone with the Wind,"ACTOR -- Clark Gable {""Rhett Butler""}",,
1939,Gone with the Wind,"ACTRESS -- Vivien Leigh {""Scarlett O'Hara""}",won,
1939,Gone with the Wind,"ACTRESS IN A SUPPORTING ROLE -- Olivia de Havilland {""Melanie Hamilton""}",,
1939,Gone with the Wind,"ACTRESS IN A SUPPORTING ROLE -- Hattie McDaniel {""Mammy""}",won,
1939,Gone with the Wind,ART DIRECTION -- Lyle Wheeler,won,
1939,Gone with the Wind,"CINEMATOGRAPHY (Color) -- Ernest Haller, Ray Rennahan",won,
1939,Gone with the Wind,DIRECTING -- Victor Fleming,won,
1939,Gone with the Wind,"FILM EDITING -- Hal C. Kern, James E. Newcom",won,
1939,Gone with the Wind,MUSIC (Original Score) -- Max Steiner,,
1939,Gone with the Wind,OUTSTANDING PRODUCTION -- Selznick International Pictures,won,
1939,Gone with the Wind,"SOUND RECORDING -- Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director",,
1939,Gone with the Wind,"SPECIAL EFFECTS -- John R. Cosgrove, Fred Albin, Arthur Johns",,
1939,Gone with the Wind,WRITING (Screenplay) -- Sidney Howard,won,
1939,Gone with the Wind,SPECIAL AWARD -- To William Cameron Menzies for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind.,won,x
1939,Gone with the Wind,SCIENTIFIC OR TECHNICAL AWARD (Class III),won,x
1964,Mary Poppins,"ACTRESS -- Julie Andrews {""Mary Poppins""}",won,
1964,Mary Poppins,"ART DIRECTION (Color) -- Art Direction: Carroll Clark, William H. Tuntke; Set Decoration: Emile Kuri, Hal Gausman",,
1964,Mary Poppins,CINEMATOGRAPHY (Color) -- Edward Colman,,
1964,Mary Poppins,COSTUME DESIGN (Color) -- Tony Walton,,
1964,Mary Poppins,DIRECTING -- Robert Stevenson,,
1964,Mary Poppins,FILM EDITING -- Cotton Warburton,won,
1964,Mary Poppins,"MUSIC (Music Score--substantially original) -- Richard M. Sherman, Robert B. Sherman",won,
1964,Mary Poppins,MUSIC (Scoring of Music--adaptation or treatment) -- Irwin Kostal,,
1964,Mary Poppins,"MUSIC (Song) -- ""Chim Chim Cher-ee,"" Music and Lyrics by Richard M. Sherman and Robert B. Sherman",won,
1964,Mary Poppins,"BEST PICTURE -- Walt Disney and Bill Walsh, Producers",,
1964,Mary Poppins,"SOUND -- Walt Disney Studio Sound Department, Robert O. Cook, Sound Director",,
1964,Mary Poppins,"SPECIAL VISUAL EFFECTS -- Peter Ellenshaw, Eustace Lycett, Hamilton Luske",won,
1964,Mary Poppins,"WRITING (Screenplay--based on material from another medium) -- Bill Walsh, Don DaGradi",,
1998,Shakespeare in Love,"ACTOR IN A SUPPORTING ROLE -- Geoffrey Rush {""Philip Henslowe""}",,
1998,Shakespeare in Love,"ACTRESS IN A LEADING ROLE -- Gwyneth Paltrow {""Viola De Lesseps""}",won,
1998,Shakespeare in Love,"ACTRESS IN A SUPPORTING ROLE -- Judi Dench {""Queen Elizabeth I""}",won,
1998,Shakespeare in Love,ART DIRECTION -- Art Direction: Martin Childs; Set Decoration: Jill Quertier,won,
1998,Shakespeare in Love,CINEMATOGRAPHY -- Richard Greatrex,,
1998,Shakespeare in Love,COSTUME DESIGN -- Sandy Powell,won,
1998,Shakespeare in Love,DIRECTING -- John Madden,,
1998,Shakespeare in Love,FILM EDITING -- David Gamble,,
1998,Shakespeare in Love,"MAKEUP -- Lisa Westcott, Veronica Brebner",,
1998,Shakespeare in Love,MUSIC (Original Musical or Comedy Score) -- Stephen Warbeck ,won,
1998,Shakespeare in Love,"BEST PICTURE -- David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers ",won,
1998,Shakespeare in Love,"SOUND -- Robin O'Donoghue, Dominic Lester, Peter Glossop",,
1998,Shakespeare in Love,"WRITING (Screenplay Written Directly for the Screen) -- Marc Norman, Tom Stoppard ",won,
2008,The Curious Case of Benjamin Button,"ACTOR IN A LEADING ROLE -- Brad Pitt {""Benjamin Button""}",,
2008,The Curious Case of Benjamin Button,"ACTRESS IN A SUPPORTING ROLE -- Taraji P. Henson {""Queenie""}",,
2008,The Curious Case of Benjamin Button,ART DIRECTION -- Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo,won,
2008,The Curious Case of Benjamin Button,CINEMATOGRAPHY -- Claudio Miranda,,
2008,The Curious Case of Benjamin Button,COSTUME DESIGN -- Jacqueline West,,
2008,The Curious Case of Benjamin Button,DIRECTING -- David Fincher,,
2008,The Curious Case of Benjamin Button,FILM EDITING -- Kirk Baxter and Angus Wall,,
2008,The Curious Case of Benjamin Button,MAKEUP -- Greg Cannom,won,
2008,The Curious Case of Benjamin Button,MUSIC (Original Score) -- Alexandre Desplat,,
2008,The Curious Case of Benjamin Button,"BEST PICTURE -- Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers",,
2008,The Curious Case of Benjamin Button,"SOUND MIXING -- David Parker, Michael Semanick, Ren Klyce and Mark Weingarten",,
2008,The Curious Case of Benjamin Button,"VISUAL EFFECTS -- Eric Barba, Steve Preeg, Burt Dalton and Craig Barron",won,
2008,The Curious Case of Benjamin Button,WRITING (Adapted Screenplay) -- Screenplay by Eric Roth; Screen story by Eric Roth and Robin Swicord,,
2001,The Lord of the Rings: The Fellowship of the Ring,"ACTOR IN A SUPPORTING ROLE -- Ian McKellen {""Gandalf""}",,
2001,The Lord of the Rings: The Fellowship of the Ring,ART DIRECTION -- Art Direction: Grant Major; Set Decoration: Dan Hennah,,
2001,The Lord of the Rings: The Fellowship of the Ring,CINEMATOGRAPHY -- Andrew Lesnie,won,
2001,The Lord of the Rings: The Fellowship of the Ring,"COSTUME DESIGN -- Ngila Dickson, Richard Taylor",,
2001,The Lord of the Rings: The Fellowship of the Ring,DIRECTING -- Peter Jackson,,
2001,The Lord of the Rings: The Fellowship of the Ring,FILM EDITING -- John Gilbert,,
2001,The Lord of the Rings: The Fellowship of the Ring,"MAKEUP -- Peter Owen, Richard Taylor",won,
2001,The Lord of the Rings: The Fellowship of the Ring,MUSIC (Original Score) -- Howard Shore,won,
2001,The Lord of the Rings: The Fellowship of the Ring,"MUSIC (Original Song) -- ""May It Be,"" Music and Lyric by Enya, Nicky Ryan and Roma Ryan",,
2001,The Lord of the Rings: The Fellowship of the Ring,"BEST PICTURE -- Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",,
2001,The Lord of the Rings: The Fellowship of the Ring,"SOUND -- Christopher Boyes, Michael Semanick, Gethin Creagh, Hammond Peek",,
2001,The Lord of the Rings: The Fellowship of the Ring,"VISUAL EFFECTS -- Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson",won,
2001,The Lord of the Rings: The Fellowship of the Ring,"WRITING (Screenplay Based on Material Previously Produced or Published) -- Screenplay by Fran Walsh, Philippa Boyens, Peter Jackson",,
2017,The Shape of Water,"ACTOR IN A SUPPORTING ROLE -- Richard Jenkins {""Giles""}",,
2017,The Shape of Water,"ACTRESS IN A LEADING ROLE -- Sally Hawkins {""Elisa Esposito""}",,
2017,The Shape of Water,"ACTRESS IN A SUPPORTING ROLE -- Octavia Spencer {""Zelda Fuller""}",,
2017,The Shape of Water,CINEMATOGRAPHY -- Dan Laustsen,,
2017,The Shape of Water,COSTUME DESIGN -- Luis Sequeira,,
2017,The Shape of Water,DIRECTING -- Guillermo del Toro,won,
2017,The Shape of Water,FILM EDITING -- Sidney Wolinsky,,
2017,The Shape of Water,MUSIC (Original Score) -- Alexandre Desplat,won,
2017,The Shape of Water,"BEST PICTURE -- Guillermo del Toro and J. Miles Dale, Producers",won,
2017,The Shape of Water,PRODUCTION DESIGN -- Production Design: Paul Denham Austerberry; Set Decoration: Shane Vieau and Jeffrey A. Melvin,won,
2017,The Shape of Water,SOUND EDITING -- Nathan Robitaille and Nelson Ferreira,,
2017,The Shape of Water,"SOUND MIXING -- Christian Cooke, Brad Zoern and Glen Gauthier",,
2017,The Shape of Water,WRITING (Original Screenplay) -- Screenplay by Guillermo del Toro & Vanessa Taylor; Story by Guillermo del Toro,,
1966,Who's Afraid of Virginia Woolf?,"ACTOR -- Richard Burton {""George""}",,
1966,Who's Afraid of Virginia Woolf?,"ACTOR IN A SUPPORTING ROLE -- George Segal {""Nick""}",,
1966,Who's Afraid of Virginia Woolf?,"ACTRESS -- Elizabeth Taylor {""Martha""}",won,
1966,Who's Afraid of Virginia Woolf?,"ACTRESS IN A SUPPORTING ROLE -- Sandy Dennis {""Honey""}",won,
1966,Who's Afraid of Virginia Woolf?,ART DIRECTION (Black-and-White) -- Art Direction: Richard Sylbert; Set Decoration: George James Hopkins,won,
1966,Who's Afraid of Virginia Woolf?,CINEMATOGRAPHY (Black-and-White) -- Haskell Wexler,won,
1966,Who's Afraid of Virginia Woolf?,COSTUME DESIGN (Black-and-White) -- Irene Sharaff,won,
1966,Who's Afraid of Virginia Woolf?,DIRECTING -- Mike Nichols,,
1966,Who's Afraid of Virginia Woolf?,FILM EDITING -- Sam O'Steen,,
1966,Who's Afraid of Virginia Woolf?,MUSIC (Original Music Score) -- Alex North,,
1966,Who's Afraid of Virginia Woolf?,"BEST PICTURE -- Ernest Lehman, Producer",,
1966,Who's Afraid of Virginia Woolf?,"SOUND -- Warner Bros. Studio Sound Department, George R. Groves, Sound Director",,
1966,Who's Afraid of Virginia Woolf?,WRITING (Screenplay--based on material from another medium) -- Ernest Lehman,,
1951,A Streetcar Named Desire,"ACTOR -- Marlon Brando {""Stanley Kowalski""}",,
1951,A Streetcar Named Desire,"ACTOR IN A SUPPORTING ROLE -- Karl Malden {""Mitch""}",won,
1951,A Streetcar Named Desire,"ACTRESS -- Vivien Leigh {""Blanche DuBois""}",won,
1951,A Streetcar Named Desire,"ACTRESS IN A SUPPORTING ROLE -- Kim Hunter {""Stella Kowalski""}",won,
1951,A Streetcar Named Desire,ART DIRECTION (Black-and-White) -- Art Direction: Richard Day; Set Decoration: George James Hopkins,won,
1951,A Streetcar Named Desire,CINEMATOGRAPHY (Black-and-White) -- Harry Stradling,,
1951,A Streetcar Named Desire,COSTUME DESIGN (Black-and-White) -- Lucinda Ballard,,
1951,A Streetcar Named Desire,DIRECTING -- Elia Kazan,,
1951,A Streetcar Named Desire,MUSIC (Music Score of a Dramatic or Comedy Picture) -- Alex North ,,
1951,A Streetcar Named Desire,"BEST MOTION PICTURE -- Charles K. Feldman, Producer",,
1951,A Streetcar Named Desire,"SOUND RECORDING -- Warner Bros. Studio Sound Department, Col. Nathan Levinson, Sound Director ",,
1951,A Streetcar Named Desire,WRITING (Screenplay) -- Tennessee Williams,,
1964,Becket,"ACTOR -- Richard Burton {""Thomas Becket""}",,
1964,Becket,"ACTOR -- Peter O'Toole {""King Henry II""}",,
1964,Becket,"ACTOR IN A SUPPORTING ROLE -- John Gielgud {""King Louis VII of France""}",,
1964,Becket,"ART DIRECTION (Color) -- Art Direction: John Bryan, Maurice Carter; Set Decoration: Patrick McLoughlin, Robert Cartwright",,
1964,Becket,CINEMATOGRAPHY (Color) -- Geoffrey Unsworth,,
1964,Becket,COSTUME DESIGN (Color) -- Margaret Furse,,
1964,Becket,DIRECTING -- Peter Glenville,,
1964,Becket,FILM EDITING -- Anne Coates,,
1964,Becket,MUSIC (Music Score--substantially original) -- Laurence Rosenthal,,
1964,Becket,"BEST PICTURE -- Hal B. Wallis, Producer",,
1964,Becket,"SOUND -- Shepperton Studio Sound Department, John Cox, Sound Director",,
1964,Becket,WRITING (Screenplay--based on material from another medium) -- Edward Anhalt,won,
1959,Ben-Hur,"ACTOR -- Charlton Heston {""Judah Ben-Hur""}",won,
1959,Ben-Hur,"ACTOR IN A SUPPORTING ROLE -- Hugh Griffith {""Sheik Ilderim""}",won,
1959,Ben-Hur,"ART DIRECTION (Color) -- Art Direction: William A. Horning, Edward Carfagno; Set Decoration: Hugh Hunt",won,
1959,Ben-Hur,CINEMATOGRAPHY (Color) -- Robert L. Surtees,won,
1959,Ben-Hur,COSTUME DESIGN (Color) -- Elizabeth Haffenden,won,
1959,Ben-Hur,DIRECTING -- William Wyler,won,
1959,Ben-Hur,"FILM EDITING -- Ralph E. Winters, John D. Dunning",won,
1959,Ben-Hur,MUSIC (Music Score of a Dramatic or Comedy Picture) -- Miklos Rozsa,won,
1959,Ben-Hur,"BEST MOTION PICTURE -- Sam Zimbalist, Producer",won,
1959,Ben-Hur,"SOUND -- Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",won,
1959,Ben-Hur,"SPECIAL EFFECTS -- Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory",won,
1959,Ben-Hur,WRITING (Screenplay--based on material from another medium) -- Karl Tunberg,,
1990,Dances With Wolves,"ACTOR IN A LEADING ROLE -- Kevin Costner {""Lieutenant Dunbar""}",,
1990,Dances With Wolves,"ACTOR IN A SUPPORTING ROLE -- Graham Greene {""Kicking Bird""}",,
1990,Dances With Wolves,"ACTRESS IN A SUPPORTING ROLE -- Mary McDonnell {""Stands With A Fist""}",,
1990,Dances With Wolves,ART DIRECTION -- Art Direction: Jeffrey Beecroft; Set Decoration: Lisa Dean,,
1990,Dances With Wolves,CINEMATOGRAPHY -- Dean Semler,won,
1990,Dances With Wolves,COSTUME DESIGN -- Elsa Zamparelli,,
1990,Dances With Wolves,DIRECTING -- Kevin Costner,won,
1990,Dances With Wolves,FILM EDITING -- Neil Travis,won,
1990,Dances With Wolves,MUSIC (Original Score) -- John Barry,won,
1990,Dances With Wolves,"BEST PICTURE -- Jim Wilson and Kevin Costner, Producers",won,
1990,Dances With Wolves,"SOUND -- Jeffrey Perkins, Bill W. Benton, Greg Watkins, Russell Williams II",won,
1990,Dances With Wolves,WRITING (Screenplay Based on Material from Another Medium) -- Michael Blake ,won,
2000,Gladiator,"ACTOR IN A LEADING ROLE -- Russell Crowe {""Maximus Decimus Meridius""}",won,
2000,Gladiator,"ACTOR IN A SUPPORTING ROLE -- Joaquin Phoenix {""Commodus""}",,
2000,Gladiator,ART DIRECTION -- Art Direction: Arthur Max; Set Decoration: Crispian Sallis,,
2000,Gladiator,CINEMATOGRAPHY -- John Mathieson,,
2000,Gladiator,COSTUME DESIGN -- Janty Yates,won,
2000,Gladiator,DIRECTING -- Ridley Scott,,
2000,Gladiator,FILM EDITING -- Pietro Scalia,,
2000,Gladiator,MUSIC (Original Score) -- Hans Zimmer,,
2000,Gladiator,"BEST PICTURE -- Douglas Wick, David Franzoni and Branko Lustig, Producers",won,
2000,Gladiator,"SOUND -- Scott Millan, Bob Beemer, Ken Weston",won,
2000,Gladiator,"VISUAL EFFECTS -- John Nelson, Neil Corbould, Tim Burke, Rob Harvey",won,
2000,Gladiator,WRITING (Screenplay Written Directly for the Screen) -- Screenplay by David Franzoni and John Logan and William Nicholson; Story by David Franzoni,,
1948,Johnny Belinda,"ACTOR -- Lew Ayres {""Dr. Robert Richardson""}",,
1948,Johnny Belinda,"ACTOR IN A SUPPORTING ROLE -- Charles Bickford {""Black McDonald""}",,
1948,Johnny Belinda,"ACTRESS -- Jane Wyman {""Belinda McDonald""}",won,
1948,Johnny Belinda,"ACTRESS IN A SUPPORTING ROLE -- Agnes Moorehead {""Aggie McDonald""}",,
1948,Johnny Belinda,ART DIRECTION (Black-and-White) -- Art Direction: Robert Haas; Set Decoration: William Wallace,,
1948,Johnny Belinda,CINEMATOGRAPHY (Black-and-White) -- Ted McCord,,
1948,Johnny Belinda,DIRECTING -- Jean Negulesco,,
1948,Johnny Belinda,FILM EDITING -- David Weisbart,,
1948,Johnny Belinda,MUSIC (Music Score of a Dramatic or Comedy Picture) -- Max Steiner,,
1948,Johnny Belinda,BEST MOTION PICTURE -- Warner Bros.,,
1948,Johnny Belinda,"SOUND RECORDING -- Warner Bros. Studio Sound Department, Col. Nathan O. Levinson, Sound Director",,
1948,Johnny Belinda,"WRITING (Screenplay) -- Irmgard Von Cube, Allen Vincent",,
2012,Lincoln,"ACTOR IN A LEADING ROLE -- Daniel Day-Lewis {""Abraham Lincoln""} ",won,
2012,Lincoln,"ACTOR IN A SUPPORTING ROLE -- Tommy Lee Jones {""Thaddeus Stevens""}",,
2012,Lincoln,"ACTRESS IN A SUPPORTING ROLE -- Sally Field {""Mary Todd Lincoln""}",,
2012,Lincoln,CINEMATOGRAPHY -- Janusz Kaminski,,
2012,Lincoln,COSTUME DESIGN -- Joanna Johnston,,
2012,Lincoln,DIRECTING -- Steven Spielberg,,
2012,Lincoln,FILM EDITING -- Michael Kahn,,
2012,Lincoln,MUSIC (Original Score) -- John Williams,,
2012,Lincoln,"BEST PICTURE -- Steven Spielberg and Kathleen Kennedy, Producers",,
2012,Lincoln,PRODUCTION DESIGN -- Production Design: Rick Carter; Set Decoration: Jim Erickson,won,
2012,Lincoln,"SOUND MIXING -- Andy Nelson, Gary Rydstrom and Ronald Judkins",,
2012,Lincoln,WRITING (Adapted Screenplay) -- Screenplay by Tony Kushner,,
1942,Mrs. Miniver,"ACTOR -- Walter Pidgeon {""Clem Miniver""}",,
1942,Mrs. Miniver,"ACTOR IN A SUPPORTING ROLE -- Henry Travers {""Mr. Ballard""}",,
1942,Mrs. Miniver,"ACTRESS -- Greer Garson {""Kay Miniver""}",won,
1942,Mrs. Miniver,"ACTRESS IN A SUPPORTING ROLE -- Dame May Whitty {""Lady Beldon""}",,
1942,Mrs. Miniver,"ACTRESS IN A SUPPORTING ROLE -- Teresa Wright {""Carol Beldon""}",won,
1942,Mrs. Miniver,CINEMATOGRAPHY (Black-and-White) -- Joseph Ruttenberg,won,
1942,Mrs. Miniver,DIRECTING -- William Wyler,won,
1942,Mrs. Miniver,FILM EDITING -- Harold F. Kress,,
1942,Mrs. Miniver,OUTSTANDING MOTION PICTURE -- Metro-Goldwyn-Mayer,won,
1942,Mrs. Miniver,"SOUND RECORDING -- Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",,
1942,Mrs. Miniver,"SPECIAL EFFECTS -- Photographic Effects by A. Arnold Gillespie, Warren Newcombe; Sound Effects by Douglas Shearer",,
1942,Mrs. Miniver,"WRITING (Screenplay) -- Arthur Wimperis, George Froeschel, James Hilton, Claudine West",won,
1964,My Fair Lady,"ACTOR -- Rex Harrison {""Professor Henry Higgins""}",won,
1964,My Fair Lady,"ACTOR IN A SUPPORTING ROLE -- Stanley Holloway {""Alfred P. Doolittle""}",,
1964,My Fair Lady,"ACTRESS IN A SUPPORTING ROLE -- Gladys Cooper {""Mrs. Higgins""}",,
1964,My Fair Lady,"ART DIRECTION (Color) -- Art Direction: Gene Allen, Cecil Beaton; Set Decoration: George James Hopkins",won,
1964,My Fair Lady,CINEMATOGRAPHY (Color) -- Harry Stradling,won,
1964,My Fair Lady,COSTUME DESIGN (Color) -- Cecil Beaton,won,
1964,My Fair Lady,DIRECTING -- George Cukor,won,
1964,My Fair Lady,FILM EDITING -- William Ziegler,,
1964,My Fair Lady,MUSIC (Scoring of Music--adaptation or treatment) -- Andre Previn,won,
1964,My Fair Lady,"BEST PICTURE -- Jack L. Warner, Producer",won,
1964,My Fair Lady,"SOUND -- Warner Bros. Studio Sound Department, George R. Groves, Sound Director",won,
1964,My Fair Lady,WRITING (Screenplay--based on material from another medium) -- Alan Jay Lerner,,
1954,On the Waterfront,"ACTOR -- Marlon Brando {""Terry Malloy""}",,
1954,On the Waterfront,"ACTOR IN A SUPPORTING ROLE -- Lee J. Cobb {""Johnny Friendly""}",won,
1954,On the Waterfront,"ACTOR IN A SUPPORTING ROLE -- Karl Malden {""Father Barry""}",,
1954,On the Waterfront,"ACTOR IN A SUPPORTING ROLE -- Rod Steiger {""Charles Malloy""}",,
1954,On the Waterfront,"ACTRESS IN A SUPPORTING ROLE -- Eva Marie Saint {""Edie Doyle""}",won,
1954,On the Waterfront,ART DIRECTION (Black-and-White) -- Richard Day,won,
1954,On the Waterfront,CINEMATOGRAPHY (Black-and-White) -- Boris Kaufman,won,
1954,On the Waterfront,DIRECTING -- Elia Kazan,won,
1954,On the Waterfront,FILM EDITING -- Gene Milford,won,
1954,On the Waterfront,MUSIC (Music Score of a Dramatic or Comedy Picture) -- Leonard Bernstein,,
1954,On the Waterfront,"BEST MOTION PICTURE -- Sam Spiegel, Producer",won,
1954,On the Waterfront,WRITING (Story and Screenplay) -- Budd Schulberg ,won,
1981,Reds,"ACTOR IN A LEADING ROLE -- Warren Beatty {""John 'Jack' Reed""}",,
